,ID_hecho,FECHA,ROL,VEHICULO_FALLECIDO,SEXO,EDAD,N_VICTIMAS,HORA_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
323,2018-0036,2018-04-13,CONDUCTOR,MOTO,MASCULINO,37,1,23,AVENIDA,15,-58.49471482,-34.59694755,MOTO-AUTO,MOTO,AUTO
324,2018-0037,2018-04-18,PEATON,PEATON,MASCULINO,84,1,18,AVENIDA,2,-58.3987261,-34.59975962,PEATON-CARGAS,PEATON,CARGAS
325,2018-0038,2018-04-20,PEATON,PEATON,FEMENINO,59,2,17,AVENIDA,1,-58.38872177,-34.60885045,PEATON-AUTO,PEATON,AUTO
326,2018-0038,2018-04-20,PEATON,PEATON,MASCULINO,61,2,17,AVENIDA,1,-58.38872177,-34.60885045,PEATON-AUTO,PEATON,AUTO
327,2018-0039,2018-04-21,PEATON,PEATON,MASCULINO,37,1,22,AUTOPISTA,14,-58.4395778,-34.5511969,PEATON-AUTO,PEATON,AUTO
328,2018-0040,2018-04-27,PEATON,PEATON,FEMENINO,42,1,11,CALLE,13,-58.45686132,-34.57305993,PEATON-CARGAS,PEATON,CARGAS
329,2018-0041,2018-04-27,PEATON,PEATON,FEMENINO,78,1,13,AVENIDA,4,-58.42281627,-34.64282424,PEATON-PASAJEROS,PEATON,PASAJEROS
330,2018-0042,2018-04-27,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,23,1,18,CALLE,4,-58.38666024,-34.63953396,MOTO-CARGAS,MOTO,CARGAS
331,2018-0043,2018-04-28,CONDUCTOR,MOTO,MASCULINO,25,1,6,AVENIDA,11,-58.49122843,-34.61207587,MOTO-AUTO,MOTO,AUTO
332,2018-0044,2018-04-28,PEATON,PEATON,FEMENINO,50,1,9,AVENIDA,3,-58.40098306,-34.61866627,PEATON-AUTO,PEATON,AUTO
333,2018-0045,2018-04-30,CONDUCTOR,AUTO,MASCULINO,60,1,7,AVENIDA,13,-58.45448963,-34.5791692,AUTO-CARGAS,AUTO,CARGAS
334,2018-0046,2018-05-02,PEATON,PEATON,MASCULINO,11,1,3,GRAL PAZ,9,-58.52927982,-34.63931752,PEATON-AUTO,PEATON,AUTO
335,2018-0047,2018-05-08,PEATON,PEATON,MASCULINO,82,1,19,AVENIDA,15,-58.44759966,-34.5917024,PEATON-PASAJEROS,PEATON,PASAJEROS
336,2018-0048,2018-05-09,PEATON,PEATON,MASCULINO,57,1,10,AVENIDA,7,-58.46411215,-34.62925068,PEATON-PASAJEROS,PEATON,PASAJEROS
337,2018-0049,2018-05-11,PEATON,PEATON,FEMENINO,40,1,19,CALLE,13,-58.4621322,-34.55395823,PEATON-AUTO,PEATON,AUTO
338,2018-0050,2018-05-14,PEATON,PEATON,FEMENINO,47,1,18,AVENIDA,13,-58.45669422,-34.5620361,PEATON-PASAJEROS,PEATON,PASAJEROS
339,2018-0051,2018-05-15,PEATON,PEATON,FEMENINO,57,1,21,CALLE,4,-58.3597716,-34.64341878,PEATON-AUTO,PEATON,AUTO
340,2018-0052,2018-05-18,PEATON,PEATON,MASCULINO,78,1,20,AVENIDA,15,-58.49820145,-34.59070093,PEATON-PASAJEROS,PEATON,PASAJEROS
341,2018-0053,2018-05-20,CONDUCTOR,MOTO,MASCULINO,43,1,2,CALLE,3,-58.4105928,-34.5993918,MOTO-AUTO,MOTO,AUTO
342,2018-0054,2018-05-22,PEATON,PEATON,FEMENINO,86,1,11,CALLE,12,-58.47969138,-34.57121563,PEATON-BICICLETA,PEATON,BICICLETA
343,2018-0055,2018-05-29,CONDUCTOR,MOTO,MASCULINO,21,1,7,AVENIDA,3,-58.40351561,-34.61883916,MOTO-AUTO,MOTO,AUTO
344,2018-0056,2018-06-02,PEATON,PEATON,FEMENINO,69,1,13,AVENIDA,9,-58.51973844,-34.63918987,PEATON-PASAJEROS,PEATON,PASAJEROS
345,2018-0057,2018-06-03,CONDUCTOR,MOTO,MASCULINO,33,1,3,CALLE,3,-58.39311376,-34.62163006,MOTO-PASAJEROS,MOTO,PASAJEROS
346,2018-0058,2018-06-03,CONDUCTOR,MOTO,MASCULINO,26,1,6,AVENIDA,15,-58.43531242,-34.59082159,MOTO-AUTO,MOTO,AUTO
347,2018-0059,2018-06-08,CONDUCTOR,MOTO,MASCULINO,54,1,6,AVENIDA,5,-58.41178165,-34.63035454,MOTO-MOVIL,MOTO,OTRO
348,2018-0060,2018-06-08,PEATON,PEATON,MASCULINO,51,1,12,AVENIDA,1,-58.370488,-34.60189492,PEATON-PASAJEROS,PEATON,PASAJEROS
349,2018-0061,2018-06-10,CONDUCTOR,MOTO,MASCULINO,51,1,11,CALLE,3,-58.39883882,-34.61964833,MOTO-MOTO,MOTO,MOTO
350,2018-0062,2018-06-14,PEATON,PEATON,MASCULINO,32,1,1,CALLE,6,-58.44110156,-34.62082399,PEATON-CARGAS,PEATON,CARGAS
351,2018-0063,2018-06-16,PEATON,PEATON,FEMENINO,28,1,21,AVENIDA,1,-58.37093138,-34.59952725,PEATON-PASAJEROS,PEATON,PASAJEROS
352,2018-0064,2018-06-25,CONDUCTOR,AUTO,MASCULINO,30,1,1,AVENIDA,7,-58.45855262,-34.63953253,AUTO-CARGAS,AUTO,CARGAS
353,2018-0065,2018-06-26,CONDUCTOR,MOTO,MASCULINO,35,1,17,CALLE,1,-58.38161909,-34.59283447,MOTO-CARGAS,MOTO,CARGAS
354,2018-0066,2018-06-28,PEATON,PEATON,MASCULINO,73,1,11,AVENIDA,15,-58.45511899,-34.58698157,PEATON-PASAJEROS,PEATON,PASAJEROS
355,2018-0067,2018-06-29,PASAJERO_ACOMPAÑANTE,PASAJEROS,FEMENINO,81,1,16,AVENIDA,4,-58.37724226,-34.62973033,PASAJEROS-AUTO,PASAJEROS,AUTO
356,2018-0068,2018-07-01,CONDUCTOR,MOTO,MASCULINO,21,1,9,AVENIDA,7,-58.45546217,-34.62930339,MOTO-AUTO,MOTO,AUTO
357,2018-0069,2018-07-04,CICLISTA,BICICLETA,MASCULINO,20,1,21,AVENIDA,2,-58.39897064,-34.59954925,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
358,2018-0070,2018-07-07,CONDUCTOR,MOTO,MASCULINO,33,1,15,CALLE,3,-58.40917826,-34.62126274,MOTO-PASAJEROS,MOTO,PASAJEROS
359,2018-0071,2018-07-10,CONDUCTOR,MOTO,MASCULINO,42,1,17,AVENIDA,1,-58.36726348,-34.61099738,MOTO-CARGAS,MOTO,CARGAS
360,2018-0072,2018-07-11,CONDUCTOR,MOTO,MASCULINO,27,1,13,AUTOPISTA,8,-58.48267426,-34.68454456,MOTO-CARGAS,MOTO,CARGAS
361,2018-0073,2018-07-11,PEATON,PEATON,FEMENINO,67,1,15,AVENIDA,4,-58.39546165,-34.65168841,PEATON-CARGAS,PEATON,CARGAS
362,2018-0074,2018-07-14,CONDUCTOR,AUTO,MASCULINO,25,1,6,AVENIDA,7,-58.46941984,-34.63376545,AUTO-CARGAS,AUTO,CARGAS
363,2018-0075,2018-07-15,PEATON,PEATON,MASCULINO,23,1,7,AVENIDA,14,-58.40367321,-34.58129246,PEATON-AUTO,PEATON,AUTO
364,2018-0076,2018-07-16,CONDUCTOR,AUTO,MASCULINO,73,1,9,CALLE,9,-58.52932872,-34.65014993,AUTO-CARGAS,AUTO,CARGAS
365,2018-0077,2018-07-16,CONDUCTOR,AUTO,MASCULINO,58,1,23,CALLE,3,-58.40917826,-34.62126274,AUTO-CARGAS,AUTO,CARGAS
366,2018-0078,2018-07-21,PEATON,PEATON,MASCULINO,27,1,6,CALLE,2,-58.41264127,-34.59473294,PEATON-AUTO,PEATON,AUTO
367,2018-0079,2018-07-23,PEATON,PEATON,MASCULINO,42,1,7,GRAL PAZ,9,-58.50877521,-34.66977709,PEATON-CARGAS,PEATON,CARGAS
368,2018-0080,2018-07-25,PEATON,PEATON,MASCULINO,26,1,22,AVENIDA,9,-58.51232237,-34.6590353,PEATON-AUTO,PEATON,AUTO
369,2018-0081,2018-07-29,PEATON,PEATON,MASCULINO,35,1,6,AVENIDA,7,-58.44744156,-34.64567171,MULTIPLE,PEATON,MULTIPLE
370,2018-0082,2018-08-01,CONDUCTOR,MOTO,FEMENINO,17,1,15,AVENIDA,9,-58.49441273,-34.65869968,MOTO-CARGAS,MOTO,CARGAS
371,2018-0083,2018-08-02,CONDUCTOR,MOTO,MASCULINO,42,1,5,GRAL PAZ,8,-58.47976785,-34.69153196,MOTO-CARGAS,MOTO,CARGAS
372,2018-0084,2018-08-03,PEATON,PEATON,MASCULINO,45,1,7,AVENIDA,1,-58.36523349,-34.62260331,PEATON-CARGAS,PEATON,CARGAS
373,2018-0085,2018-08-03,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22,2,18,AVENIDA,3,-58.39118948,-34.62704273,MOTO-PASAJEROS,MOTO,PASAJEROS
374,2018-0085,2018-08-03,CONDUCTOR,MOTO,MASCULINO,30,2,18,AVENIDA,3,-58.39118948,-34.62704273,MOTO-PASAJEROS,MOTO,PASAJEROS
375,2018-0086,2018-08-10,PEATON,PEATON,MASCULINO,40,1,21,AVENIDA,9,-58.49019551,-34.65015854,PEATON-PASAJEROS,PEATON,PASAJEROS
376,2018-0087,2018-08-15,PEATON,PEATON,MASCULINO,75,1,19,AVENIDA,5,-58.41644362,-34.63023775,PEATON-PASAJEROS,PEATON,PASAJEROS
